course_number,course_name,type,kind,lecturer,semester,ects,max_students,registered_students,no_dates_total,instute,email,level,study_area,university,curriculum,assessment_criteria,teaching_methods,language,other_information,study_subject,room_id
256.600,Soziale Auswirkungen der IT,KS,Präsenz,Hermann Sikora,2024S,"3,00",150,154,13.0,I. WI Information Engineering,office@ie.jku.at,B3 - Bachelor 3. Jahr,Sozialwissenschaften,Johannes Kepler Universität Linz,Bachelorstudium Wirtschaftsinformatik,Kurzreferat und schriftliche Arbeit zu einem selbstgewählten Thema.,Kurze beschreibende oder empirische Studie,Deutsch,,Soziale und geschlechterspezifische Aspekte der IT,0
339.341,Special Topics,KV,Präsenz,Hanspeter Mössenböck,2024S,"1,50",125,119,3.0,I. Systemsoftware,hanspeter.moessenboeck@jku.at,M1 - Master 1. Jahr,Informatik,Johannes Kepler Universität Linz,Masterstudium Computer Science,(*)See course descriptions. ,(*)See course descriptions. ,Englisch,(*)None.,(*)Area of Specialization,0
339.350,Special Topics,KV,Präsenz,William Steingartner,2024S,"1,50",35,12,4.0,I. Systemsoftware,sec@ssw.jku.at,M1 - Master 1. Jahr,Informatik,Johannes Kepler Universität Linz,Masterstudium Computer Science,(*)See course descriptions. ,(*)See course descriptions. ,Englisch,(*)None.,(*)Area of Specialization,0
238.213,Statistik für Sozial- und Wirtschaftswissenschaften,KS,Präsenz,Andreas Quatember,2024S,"3,00",180,173,14.0,A. Datengewinnung und Datenqualität,andreas.quatember@jku.at,B1 - Bachelor 1. Jahr,Statistik,Johannes Kepler Universität Linz,,,,,,Pflichtfächer,0
150.004,Steuerrecht,RE,Präsenz,Maximilian Reindl,2024S,"2,00",200,100,4.0,"I. Finanz-, Steuerrecht u. Steuerpolitik",steuerrecht@jku.at,,,,,,,,,Not available,0
269.030,Strategisches Management: Grundlagen,KS,Präsenz,Johannes Winkler,2024S,"3,00",100,82,6.0,I. Strategisches Management,,B2 - Bachelor 2. Jahr,Betriebswirtschaftslehre,Johannes Kepler Universität Linz,Bachelorstudium Betriebswirtschaftslehre,Klausur und Seminararbeit,"Zur Erreichung der Lehr- und Lernziele werden theoretische Inputs, Selbststudium sowie Übungen in Kleingruppen und Phasen der kritischen Reflexion und Diskussion eingesetzt.",Deutsch,,Wahlfächer,0
381.001,Technologien der Polymerverarbeitung 2: Spritzgießen,VL,Präsenz,Georg Steinbichler,2024S,"2,50",105,22,14.0,"I. Polymer Inj. Moulding, Process Autom.",,B2 - Bachelor 2. Jahr,Kunststofftechnik,Johannes Kepler Universität Linz,Bachelorstudium Nachhaltige Kunststofftechnik & Kreislaufwirtschaft,Schriftliche Prüfung mit transparentem Punktesystem und Notenzuteilung,Vorlesung mit Power Point Präsentation; Skripten werden über das KUSSS zur Verfügung gestellt,Deutsch,,Kunststofftechnik und Kreislaufwirtschaft,0
531.208,Wahrscheinlichkeitsrechnung,VO,Präsenz,Peter Kritzer,2024S,"4,00",100,76,28.0,A. MINT Didaktik,Peter.Kritzer@oeaw.ac.at,,,,,,,,,Not available,0
233.KS2,Wirtschafts- und Berufspädagogik 2,KS,Präsenz,Georg Hans Neuweg,2024S,"4,00",200,59,11.0,I. Wirtschafts- u. Berufspädagogik,georg.neuweg@jku.at,D - Diplom,Pädagogik,Johannes Kepler Universität Linz,Diplomstudium Wirtschaftspädagogik,Schriftliche Klausur sowie Reflexions- und Übungsaufgaben,"Vortrag, selbständiges Literaturstudium, Diskussion",Deutsch,Der Kurs Wirtschafts- und Berufspädagogik 2 (Sommersemester) wird alternierend mit dem Kurs Wirtschafts- und Berufspädagogik 1 (Wintersemester) angeboten. Er kann auch vor dem Kurs 1 absolviert werden.,Pflichtfächer 2. Studienabschnitt,0
367.144,Wirtschaftsgrundlagen der Informatik,VL,Präsenz,Werner Retschitzegger,2024S,"3,00",200,181,5.0,A. Kooperative Informationssysteme,werner.retschitzegger@jku.at,B2 - Bachelor 2. Jahr,Informatik,Johannes Kepler Universität Linz,Bachelorstudium Informatik,Klausur,Folien-basierter Vortrag,Deutsch,http://www.cis.jku.at,Begleitende Inhalte,0
367.145,Wirtschaftsgrundlagen für Informatiker,VO,Präsenz,Werner Retschitzegger,2024S,"3,00",15,2,5.0,A. Kooperative Informationssysteme,werner.retschitzegger@jku.at,,,,,,,,,Not available,0
531.170,Zahlentheorie,VO,Präsenz,Friedrich Pillichshammer,2024S,"2,00",110,97,13.0,A. MINT Didaktik,friedrich.pillichshammer@jku.at,,,,,,,,,Not available,0
239.301,Ökonomie für das Unterrichtsfach GW,VU,Präsenz,René Andeßner,2024S,"8,00",200,48,25.0,I. Volkswirtschaftslehre,,,,,,,,,,Not available,0
368.190,Algebra für Informatik,VL,Präsenz,Christoph Koutschan,2024S,"3,00",250,243,22.0,I. Algebra,,B1 - Bachelor 1. Jahr,Informatik,Johannes Kepler Universität Linz,Bachelorstudium Informatik,"Allgemein: Verständnis und  Beherrschung der vorgestellten Lösungsmethoden. Kenntnis der zugrunde liegenden Strukturtheorie und ihres logischen Aufbaus. Kenntnis und Darstellung der vermittelten Beweise. Korrektes eigenständiges Herleiten von Lösungsmethoden fuer verwandte Probleme.
Konkret: Schriftliche Klausurarbeit.",Vortrag,Deutsch,,Theorie,1
379.012,Angewandte Wärmetechnik,KV,Präsenz,Gerald Roman Berger-Weber,2024S,"2,00",45,8,12.0,I. Polymer Proc. and Digital Transform.,elisabeth.puehringer@jku.at,B2 - Bachelor 2. Jahr,Kunststofftechnik,Johannes Kepler Universität Linz,Bachelorstudium Nachhaltige Kunststofftechnik & Kreislaufwirtschaft,Schriftliche oder mündliche Prüfung nach Ende der Lehrveranstaltung. Es werden 3 Prüfungstermine pro Semester angeboten. 40 % der Note werden durch die Mitarbeit und Bestehen von Kurztests während der Lehrveranstaltung definiert. ,"Flipped Classroom: Studierende erlernen die theoretischen Grundlagen im Selbststudium (unterstützt durch Videos, Texte, Skriptum) vor dem jeweiligen Treffen im Hörsaal. Im Hörsaal werden die praktische Bedeutung anhand von Beispielen aus Solarthermie und Kunststofftechnik diskutiert sowie die praktische Anwendung in Form von Rechenaufgaben vertieft.",Deutsch,,Kunststofftechnik und Kreislaufwirtschaft,1
239.141,Behavioral Economics,KS,Präsenz,Matthias Fahn,2024S,"3,00",200,147,10.0,I. Volkswirtschaftslehre,,B2 - Bachelor 2. Jahr,Volkswirtschaftslehre,Johannes Kepler Universität Linz,Bachelorstudium Wirtschaftswissenschaften,Klausur,"Vortrag und Diskussion, Experimente",Englisch,,Wahlfächer,1
353.006,Betriebssysteme,VO,Präsenz,Rene Mayrhofer,2024S,"3,00",400,438,13.0,I. Netzwerke und Sicherheit,lva@ins.jku.at,B1 - Bachelor 1. Jahr,Informatik,Johannes Kepler Universität Linz,Bachelorstudium Informatik,Schriftliche Klausur,Vorlesung mit interaktiven Elementen,"Deutsch, Prüfung auf Englisch möglich",https://www.jku.at/institut-fuer-netzwerke-und-sicherheit/,Grundlagen der Informatik,1
231.117,Datenanalyse 1 (Grundlagen),VU,Präsenz,Johann Bacher,2024S,"3,00",130,90,13.0,A. Empirische Sozialforschung,johann.bacher@jku.at,B1 - Bachelor 1. Jahr,Sozialwissenschaften,Johannes Kepler Universität Linz,Bachelorstudium Soziologie,Abschlussklausur (die bei den Arbeitsaufgaben erreichten Punkte werden bei der Beurteilung berücksichtigt),"Vortrag durch Lehrveranstaltungsleiter
praktische Übungen in der Lehrveranstaltung
selbständige Bearbeitung von Arbeitsaufgaben ",Deutsch,Die LVA wird in jedem Semester angeboten.,Pflichtfächer,1
266.002,Einführung in Organisation,KS,Präsenz,Sara Maric,2024S,"3,00",100,102,11.0,I. Organisation,,B1 - Bachelor 1. Jahr,Betriebswirtschaftslehre,Johannes Kepler Universität Linz,Bachelorstudium Betriebswirtschaftslehre,Two assessment points,"Vorlesungen, online Tutorien, Selbststudium",Deutsch und Englisch,,(*)International Management and Marketing,1
239.706,Einführung in die Mikroökonomie,IK,Präsenz,Stefan Fink,2024S,"3,00",40,34,11.0,A. Gesundheitsökonomie,,B1 - Bachelor 1. Jahr,Volkswirtschaftslehre,Johannes Kepler Universität Linz,,,,,,Pflichtfächer,1
362.064,Elektrische Maschinen,UE,Präsenz,Thomas Krainer,2024S,"1,50",35,20,8.0,I. Elektr. Antriebe u. Leistungselektr.,thomas.krainer@jku.at,B2 - Bachelor 2. Jahr,Mechatronik,Johannes Kepler Universität Linz,Bachelorstudium Mechatronik,Schriftliche Klausur,,Deutsch,keine,Pflichtfächer,1
362.065,Elektrische Maschinen,UE,Präsenz,Stefan Mallinger,2024S,"1,50",35,33,8.0,I. Elektr. Antriebe u. Leistungselektr.,stefan.mallinger@jku.at,B2 - Bachelor 2. Jahr,Mechatronik,Johannes Kepler Universität Linz,Bachelorstudium Mechatronik,Schriftliche Klausur,,Deutsch,keine,Pflichtfächer,1
362.066,Elektrische Maschinen,UE,Präsenz,Christoph Dobler,2024S,"1,50",35,21,8.0,I. Elektr. Antriebe u. Leistungselektr.,christoph.dobler@jku.at,B2 - Bachelor 2. Jahr,Mechatronik,Johannes Kepler Universität Linz,Bachelorstudium Mechatronik,Schriftliche Klausur,,Deutsch,keine,Pflichtfächer,1
362.068,Elektrische Maschinen und Antriebselektronik,UE,Präsenz,Stefan Mallinger,2024S,"1,50",35,27,7.0,I. Elektr. Antriebe u. Leistungselektr.,stefan.mallinger@jku.at,B2 - Bachelor 2. Jahr,Informationselektronik,Johannes Kepler Universität Linz,Bachelorstudium Elektronik und Informationstechnik (ELIT),Schriftliche Klausur,Durchrechnen von Beispielen,"Deutsch, im Bedarfsfall Englisch",,Pflichtfächer,1
362.073,Elektrische Maschinen und Antriebselektronik,UE,Präsenz,Gabriel Weissitsch,2024S,"1,50",35,11,7.0,I. Elektr. Antriebe u. Leistungselektr.,gabriel.weissitsch@jku.at,B2 - Bachelor 2. Jahr,Informationselektronik,Johannes Kepler Universität Linz,Bachelorstudium Elektronik und Informationstechnik (ELIT),Schriftliche Klausur,Durchrechnen von Beispielen,"Deutsch, im Bedarfsfall Englisch",,Pflichtfächer,1
335.003,Elektrotechnik,VL,Präsenz,Andreas Springer,2024S,"3,00",160,94,11.0,I. Nachrichtentechnik u. Hochfrequenzsys,office@nthfs.jku.at,B1 - Bachelor 1. Jahr,Mechatronik,Johannes Kepler Universität Linz,Bachelorstudium Mechatronik,Schriftliche Klausur und mündliche Prüfung ,Folienvortrag ,Deutsch,,Pflichtfächer,1
252.031,Ethik,IK,Präsenz,Johannes Thaller,2024S,"3,00",40,38,9.0,I. Controlling und Consulting,,B3 - Bachelor 3. Jahr,Betriebswirtschaftslehre,Johannes Kepler Universität Linz,Bachelorstudium Betriebswirtschaftslehre,Reflexionen und Poster Präsentationen,"Vorträge im Rahmen einer Ringvorlesung, Diskussionen und Poster Präsentationen",Deutsch und Englisch,Es erfolgen in der LVA Expertenvorträge im Rahmen einer Ringvorlesung sowie Poster Präsentationen und Kleingruppendiskussionen.,Pflichtfächer,1
383.028,Funktionelle Anatomie,VL,Präsenz,Christoph Wolf,2024S,"3,00",150,156,5.0,I. Medizin- und Biomechatronik,,B1 - Bachelor 1. Jahr,Medical Engineering,Johannes Kepler Universität Linz,Bachelorstudium Medical Engineering,Schriftliche oder mündliche Prüfung,,Deutsch,,Medizinische Grundlagen,1
531.240,Geometrie,UV,Präsenz,Bert Jüttler,2024S,"3,00",25,30,34.0,A. MINT Didaktik,"bert.juettler@jku.at, katharina.rittenscho@ph-linz.at",,,,,,,,,Not available,1
531.241,Geometrie,UV,Präsenz,Bert Jüttler,2024S,"3,00",25,10,34.0,A. MINT Didaktik,"bert.juettler@jku.at, katharina.rittenscho@ph-linz.at",,,,,,,,,Not available,1
531.242,Geometrie,UV,Präsenz,Bert Jüttler,2024S,"3,00",25,14,34.0,A. MINT Didaktik,"bert.juettler@jku.at, katharina.rittenscho@ph-linz.at",,,,,,,,,Not available,1
229.054,Grundbegriffe und Grundzüge der Politik,VU,Präsenz,Harald Stöger,2024S,"6,00",200,138,14.0,I. Politikwissenschaft und Sozialpolitik,harald.stoeger@jku.at,B1 - Bachelor 1. Jahr,Sozialwissenschaften,Johannes Kepler Universität Linz,Bachelorstudium Sozialwirtschaft,"Abschlussklausur und kleinere schriftliche Leistungen (Exposé, Leseverständnistest(s), Textkommentar, etc.) während des Semesters.",Vorlesung mit interaktiven Elementen.,Deutsch,,Wahlfächer,1
250.900,Grundlagen Wissenschaftliches Arbeiten,KS,Präsenz,Markus Mottinger,2024S,"3,00",200,82,7.0,I. Unternehmensrg. u. Wirtschaftsprüfung,,B1 - Bachelor 1. Jahr,Betriebswirtschaftslehre,Johannes Kepler Universität Linz,Bachelorstudium Betriebswirtschaftslehre,Klausur/interaktive Elemente ,"Vortrag, Diskussion ",Deutsch oder Englisch,,Wissenschaftlich Arbeiten,1
140.004,Grundrechte II,VL,Präsenz,Christoph Herbst,2024S,"0,50",150,119,5.0,I. Verwaltungsrecht u. -lehre,vwrecht@jku.at,D - Diplom,Rechtswissenschaften,Johannes Kepler Universität Linz,Diplomstudium Rechtswissenschaften,-,Selbststudium zur Vorbereitung auf die Vorlesung; Vortrag; Diskussion; Fallbesprechung,Deutsch,Die VL Grundrechte II baut auf dem KS Grundrechte I auf und vermittelt gemeinsam mit diesem ein umfassendes Bild vom Inhalt der Grundrechte und der allgemeinen Grundrechtslehren.,Zweiter Studienabschnitt,1
360.001,Grundzüge der Thermofluiddynamik,VL,Präsenz,Philipp Gittler,2024S,"4,50",200,121,28.0,I. Strömungslehre u. Wärmeübertragung,office.fluid@jku.at,B2 - Bachelor 2. Jahr,Mechatronik,Johannes Kepler Universität Linz,Bachelorstudium Mechatronik,Schriftliche und/oder mündliche Prüfung,Vortrag anhand eines Skriptums,Deutsch,begleitende Übung,Pflichtfächer,1
231.115,Grundzüge der empirischen Sozialforschung,VU,Präsenz,Dimitri Prandner,2024S,"3,00",200,72,13.0,A. Empirische Sozialforschung,dimitri.prandner@jku.at,B1 - Bachelor 1. Jahr,Sozialwissenschaften,Johannes Kepler Universität Linz,Bachelorstudium Soziologie,Positive Absolvierung einer schriftlichen Abschlussarbeit am Ende des Semesters,"Vortrag durch die/den Lehrende/nZu jedem Termin wird im MOODLE ein aktueller Foliensatz bereit gestellt.
Nach Möglichkeit erfolgt am Beginn jeder Vorlesung eine interaktive Wiederholung des Stoffs der letzten Einheit.
Es existiert eine autorisierte Vorlesungsmitschrift, die jährlich aktualisiert wird und zum Selbstkostenpreis erworben werden kann.
Der LVA ist im MOODLE ein Diskussionsforum zugeordnet, das von TutorInnen betreut wird.",Deutsch,Internet-Lexikon der Methoden der empirischen Sozialforschung: http://wlm.userweb.mwn.de/ilmes.htm,Pflichtfächer,1
239.010,Integrative und problemorientierte Fragestellungen der Geographie und Ökonomie I,UV,Präsenz,Dieter Pennerstorfer,2024S,"3,00",25,0,9.0,I. Volkswirtschaftslehre,,,,,,,,,,Not available,1
334.005,Konstruktionswerkstoffe,VL,Präsenz,Bernhard Sonderegger,2024S,"3,00",110,52,16.0,I. Metallische Konstruktionswerkstoffe,imk@jku.at,B2 - Bachelor 2. Jahr,Maschinenbau,Johannes Kepler Universität Linz,Bachelorstudium Maschinenbau,schriftliche Prüfung mit 50 % Fragen und 50 % Beispielrechnungen. ,Die Vorlesung beinhaltet sowohl grundlegende als auch praxisrelevante Methoden in der Auswahl von Werkstoffen für spezifische Konstruktionsaufgaben in Maschinenbau und Kunststofftechnik. ,Deutsch,In der Vorlesung werden die erarbeiteten Methoden durch Übungsbeispiele vertieft. ,Pflichtfächer,1
100.100,Law in Practice,KS,Präsenz,Wilhelm Bergthaler,2024S,"3,00",100,69,1.0,Dekanat Rechtswissenschaftliche Fakultät,lip@jku.at,,,,,,,,,Not available,1
362.000,Leistungselektronik 1,VO,Präsenz,Gerd Bramerdorfer,2024S,"3,00",40,28,12.0,I. Elektr. Antriebe u. Leistungselektr.,office.eal@jku.at,M2 - Master 2. Jahr,Informationselektronik,Johannes Kepler Universität Linz,Masterstudium Elektronik und Informationstechnik (ELIT),Schriftliche Klausur,"Folienvortrag, anlassbezogen selbständiges Studium von einführenden Videobeiträgen","Deutsch, Englisch in Ausnahmefällen",,Wahlfächer,1
531.120,Lineare Algebra I,VO,Präsenz,Erhard Aichinger,2024S,"4,00",125,102,26.0,A. MINT Didaktik,erhard.aichinger@jku.at,,,,,,,,,Not available,1
282.001,Management Control,IK,Präsenz,Shekerta Aliu,2024S,"3,00",40,46,12.0,Institut Management Accounting,shekerta.aliu@jku.at,B2 - Bachelor 2. Jahr,Betriebswirtschaftslehre,Johannes Kepler Universität Linz,Bachelorstudium International Business Administration,(*)Exam and homework,"(*)Lecture, discussions and practical examples",Englisch,,"(*)International Finance, Accounting and Taxation",1
358.001,Maschinenelemente,VL,Präsenz,Gudrun Mikota,2024S,"3,00",170,117,13.0,I. Maschinenlehre u. Fluidtechnik,office.imh@jku.at,B2 - Bachelor 2. Jahr,Maschinenbau,Johannes Kepler Universität Linz,Bachelorstudium Maschinenbau,"Schriftliche und mündliche Prüfung. Die schriftliche Prüfung besteht aus zwei Beispielen; beide Beispiele umfassen jeweils die Berechnung einer kleineren Baugruppe. In Summe muss die Hälfte der Punkte erreicht werden, um zur mündlichen Prüfung antreten zu können. Ausnahme: bei der 3. Prüfung kann in jedem Fall ein Antritt zur mündlichen Prüfung erfolgen. In der mündlichen Prüfung werden zwei Fragen gestellt, die meist einen größeren Bereich umfassen; während der Antwort werden Zwischenfragen gestellt, um die Durchdringung des Fachgebietes zu überprüfen.",Frontalunterricht; ausführliches Skriptum; Üben des Erlernten in den begleitenden Übungen (siehe Maschinenelemente Übungen) ,Deutsch,Keine,Pflichtfächer,1
378.014,Medizintechnik des Bewegungsapparates,KV,Präsenz,Julia Maier,2024S,"4,50",70,72,8.0,I. Polymer Product Engineering,,B2 - Bachelor 2. Jahr,Medical Engineering,Johannes Kepler Universität Linz,Bachelorstudium Medical Engineering,Schriftliche Prüfung,,Deutsch,,Problemorientierte Medizintechnik,1
378.012,Medizintechnik des Nervensystems,KV,Präsenz,Julia Maier,2024S,"4,50",70,73,8.0,I. Polymer Product Engineering,,B2 - Bachelor 2. Jahr,Medical Engineering,Johannes Kepler Universität Linz,Bachelorstudium Medical Engineering,Schriftliche Prüfung,,Deutsch,,Problemorientierte Medizintechnik,1
327.029,Numerik und Optimierung,KV,Präsenz,Stefan Takacs,2024S,"6,00",140,95,27.0,I. Numerische Mathematik,,M1 - Master 1. Jahr,Mathematik,Johannes Kepler Universität Linz,Masterstudium Mechatronik,"Zur KV ist eine mündliche Prüfung abzulegen.
In die Endnote gehen die Note zu den Übungsblättern und die Note der mündlichen Prüfung zu jeweils 50% ein. Die Prüfung ist bestanden, wenn Sie mindestens die Note 4 in beiden Prüfungsanteilen erreichen.
Bitte bringen Sie zu den mündlichen Prüfungen die 4 Uebungsblätter mit ! ",,Deutsch,keine,(*)Elective Tracks,1
379.020,Polymer Extrusion and Compounding 2: Modelling Screw Extrusion,VL,Präsenz,Alexander Hammer,2024S,"3,00",40,18,13.0,I. Polymer Proc. and Digital Transform.,elisabeth.puehringer@jku.at,M1 - Master 1. Jahr,Kunststofftechnik,Johannes Kepler Universität Linz,Masterstudium Polymer Technologies and Science (PTS),(*)Written exam,,Englisch,"(*)It is strongly recommended to join also the lecture ""Polymer Extrusion and Compounding 2: Modelling Screw Extrusion"" (UE, Exercise) ",(*)Polymer Processing,1
190.300,Privatrecht für Wirtschaftsinformatik,KV,Präsenz,Martina Eliskases,2024S,"4,50",150,118,10.0,I. Zivilrecht,martina@eliskases.at,B2 - Bachelor 2. Jahr,Rechtswissenschaften,Johannes Kepler Universität Linz,Bachelorstudium Wirtschaftsinformatik,"zwei Klausuren (Gewichtung jeweils 50 %, positive Note ab insgesamt mehr als 50 % der Punkte)","Die Lehrveranstaltung besteht aus zwei Komponenten: Ein Teil der Lehrveranstaltung ist seinem Charakter nach als klassische „Vorlesung“ konzipiert, der der Stoffvermittlung dient. Der andere Teil hat primär Übungscharakter, bei dem der vermittelte Stoff auf Fälle angewendet wird.",Deutsch,,Grundlagen des Rechts,1
365.232,Programming in Python II,UE,Präsenz,Rainer Dangl,2024S,"1,50",70,46,13.0,I. Machine Learning,,B1 - Bachelor 1. Jahr,Artificial Intelligence,Johannes Kepler Universität Linz,Bachelorstudium Artificial Intelligence,(*)Online Assignments,,Englisch,,(*)Computer Science,1
532.210,Pädagogische Psychologie für Schule und Unterricht,VU,Präsenz,Cornelia Große,2024S,"2,00",170,59,15.0,A. Bildungsforschung,cornelia.grosse@jku.at,,,,,,,,,Not available,1
361.007,Regelungstechnik,UE,Präsenz,Georg Hartl,2024S,"1,50",35,35,14.0,I. Regelungstechn. u. Prozessautomatis.,,B2 - Bachelor 2. Jahr,Mechatronik,Johannes Kepler Universität Linz,Bachelorstudium Mechatronik,"2 Klausuren, eine ca. zur Hälfte und eine am Ende der Lehrveranstaltung",Tafel- und Folienvortrag ergänzt durch Übungsbeispiele als Hausarbeit,Deutsch,,Pflichtfächer,1
361.008,Regelungstechnik,UE,Präsenz,Johannes Schrotshamer,2024S,"1,50",35,33,14.0,I. Regelungstechn. u. Prozessautomatis.,,B2 - Bachelor 2. Jahr,Mechatronik,Johannes Kepler Universität Linz,Bachelorstudium Mechatronik,"2 Klausuren, eine ca. zur Hälfte und eine am Ende der Lehrveranstaltung",Tafel- und Folienvortrag ergänzt durch Übungsbeispiele als Hausarbeit,Deutsch,,Pflichtfächer,1
361.009,Regelungstechnik,UE,Präsenz,Johannes Schrotshamer,2024S,"1,50",35,32,14.0,I. Regelungstechn. u. Prozessautomatis.,,B2 - Bachelor 2. Jahr,Mechatronik,Johannes Kepler Universität Linz,Bachelorstudium Mechatronik,"2 Klausuren, eine ca. zur Hälfte und eine am Ende der Lehrveranstaltung",Tafel- und Folienvortrag ergänzt durch Übungsbeispiele als Hausarbeit,Deutsch,,Pflichtfächer,1
361.001,Regelungstechnik,VL,Präsenz,Markus Schöberl,2024S,"4,50",140,131,21.0,I. Regelungstechn. u. Prozessautomatis.,,B2 - Bachelor 2. Jahr,Mechatronik,Johannes Kepler Universität Linz,Bachelorstudium Mechatronik,schriftliche Klausur und/oder mündliche Prüfung,Tafel- und Folienvortrag,Deutsch,,Pflichtfächer,1
382.037,Schaltungs- und Programmiertechnik 2,VL,Präsenz,Michael Lunglmayr,2024S,"6,00",175,139,17.0,I. Signalverarbeitung,office.isp@jku.at,B1 - Bachelor 1. Jahr,Medical Engineering,Johannes Kepler Universität Linz,Bachelorstudium Medical Engineering,Schriftliche Klausur,Folien/Tafelvortrag und Distance Learning,Deutsch,,Informationstechnik,1
190.035,Schuldrecht Besonderer Teil: Gesetzliche Schuldverhältnisse,KS,Präsenz,Andreas Geroldinger,2024S,"3,00",200,64,28.0,I. Zivilrecht,privatrechtsentwicklung@jku.at,D - Diplom,Rechtswissenschaften,Johannes Kepler Universität Linz,Diplomstudium Rechtswissenschaften,"Die Beurteilung erfolgt auf Grundlage automatisierter Computer-Tests über den gesamten Stoff der Lehrveranstaltung. Im Präsenzstudium werden während des laufenden Semesters vier bis sieben derartige Tests angeboten; die genaue Anzahl der Tests sowie der jeweils maßgebliche Stoffumfang werden zu Beginn der Lehrveranstaltung bekanntgegeben. Das schlechteste Ergebnis wird für die Beurteilung nicht herangezogen. Im Multimediastudium werden die Anzahl und näheren Modalitäten der Tests zu Beginn der Lehrveranstaltung bekanntgegeben.
Beurteilung: 
Teilnahme an allen oder an der um eins verminderten Anzahl an angebotenen Tests und mindestens die Hälfte der Fragen der für die Gesamtbeurteilung maßgebenden Tests richtig beantwortet = „mit Erfolg teilgenommen“
	weniger als die Hälfte der Fragen richtig beantwortet = „ohne Erfolg teilgenommen“
Studierende, die auf dieser Grundlage mit „ohne Erfolg teilgenommen“ beurteilt wurden, haben das Recht, die Lehrveranstaltungsprüfung in dem auf die Lehrveranstaltung folgenden Semester bis zu zweimal zu wiederholen. Jede Wiederholung erfolgt in Form eines automatisierten Computer-Tests über den gesamten Stoff der Lehrveranstaltung. Für die Beurteilung „mit Erfolg teilgenommen“ muss mindestens die Hälfte der Fragen richtig beantwortet werden.",Vortrag mit interaktiven Elementen ,Deutsch,,Zweiter Studienabschnitt,1
259.022,Software Architectures,KV,Präsenz,Rainer Weinreich,2024S,"4,50",65,62,12.0,I. WI Software Engineering,rainer.weinreich@jku.at,M1 - Master 1. Jahr,Informatik,Johannes Kepler Universität Linz,Masterstudium Computer Science,"(*)Lecture: written exam at the end of the semesterExercises: written contributions, presentations and discussionsThe total grade is a weighted average of the points reached for both parts (ratio lecture:exercises = 2:1)","(*)Slide-based presentation, exercises with discussions, small projects in teams",Englisch,,(*)Major Subject,1
339.170,Softwareentwicklung 1,VO,Präsenz,Hanspeter Mössenböck,2024S,"3,00",100,108,12.0,I. Systemsoftware,hanspeter.moessenboeck@jku.at,B1 - Bachelor 1. Jahr,Informatik,Johannes Kepler Universität Linz,Bachelorstudium Informatik,Klausur am Semesterende,Folienvortrag mit Beispielen an der Tafel.,Deutsch,Für nähere Informationen siehe http://ssw.jku.at/Teaching/Lectures/,Software,1
366.560,Statistik,VO,Präsenz,Thomas Forstner,2024S,"3,00",200,147,14.0,A. Angewandte Systemforsch. u. Statistik,thomas.forstner@jku.at,B2 - Bachelor 2. Jahr,Informatik,Johannes Kepler Universität Linz,Bachelorstudium Informatik,Klausur am Semesterende,Vortrag durch die/den Lehrende/n,Deutsch,"Abteilungshomepage: www.systat.jku.at
weiterführende Lehrveranstaltungen:
Statistik 2 (aufbauend auf den Grundkenntnissen aus einer einführenden Statistik-LVA werden weitere parametrische und nicht-parametrische Testverfahren vorgestellt)
Special Topics: Computer Assisted Statistics with SPSS (Umsetzung der erworbenen statistischen Methoden mittels des Programmpakets SPSS)
Special Topics: Biostatistics in Clinical Research (einführende Lehrveranstaltung über die statistischen Methoden in der klinischen Forschung)
Special Topics: Applied Biostatistics (weiterführende Lehrveranstaltung über die statistischen Methoden in der klinischen Forschung)
Special Topics: Statistics 3 - Univariate Methods
Special Topics: Statistics 4 - Multivariate Methods
Special Topics: Statistical Coaching (Servicelehrveranstaltung für alle Studierende, die bei der Abfassung von Seminararbeiten, Bachlorarbeiten, Masterarbeiten, Dissertationen und usw. statistische Unterstützung benötigen) ",Theorie,1
238.302,Statistik für Sozial- und Wirtschaftswissenschaften,KS,Präsenz,Angela Bitto-Nemling,2024S,"3,00",200,115,14.0,A. Datenanalyse und Ökonometrie,angela.bitto-nemling@jku.at,B1 - Bachelor 1. Jahr,Statistik,Johannes Kepler Universität Linz,,,,,,Pflichtfächer,1
150.005,Steuerrecht,RE,Präsenz,Thomas Bieber,2024S,"2,00",200,35,4.0,"I. Finanz-, Steuerrecht u. Steuerpolitik",steuerrecht@jku.at,,,,,,,,,Not available,1
269.031,Strategisches Management: Vertiefung,IK,Präsenz,Melanie Wiener,2024S,"3,00",40,36,6.0,I. Strategisches Management,,B2 - Bachelor 2. Jahr,Betriebswirtschaftslehre,Johannes Kepler Universität Linz,Bachelorstudium Betriebswirtschaftslehre,Klausur und Seminararbeit,"Zur Erreichung der Lehr- und Lernziele werden theoretische Inputs, Selbststudium sowie Übungen in Kleingruppen und Phasen der kritischen Reflexion und Diskussion eingesetzt.",Deutsch,,Wahlfächer,1
269.035,Strategisches Management: Vertiefung,IK,Präsenz,Melanie Wiener,2024S,"3,00",40,39,6.0,I. Strategisches Management,,B2 - Bachelor 2. Jahr,Betriebswirtschaftslehre,Johannes Kepler Universität Linz,Bachelorstudium Betriebswirtschaftslehre,Klausur und Seminararbeit,"Zur Erreichung der Lehr- und Lernziele werden theoretische Inputs, Selbststudium sowie Übungen in Kleingruppen und Phasen der kritischen Reflexion und Diskussion eingesetzt.",Deutsch,,Wahlfächer,1
